cid,upc,oid,dt,r_dt,prc,qty,amt,r_qty,r_amt,web_prod_id,GMM_DESC,PARENT_MDSE_DIVN_DESC
12944010,706000000000,1211121816,07/12/2016,,21.65,1,21.65,,,"26,16,891",READY TO WEAR,SPECIAL SIZES
13586751,28266025483,1208604497,6/23/2016,,46.39,1,46.39,,,"27,41,477",CENTER CORE,INTIMATE APPAREL/HOSIERY
13586751,28266025483,1211571419,7/13/2016,,40.49,1,40.49,,,"27,41,477",CENTER CORE,INTIMATE APPAREL/HOSIERY
13952865,706000000000,1238999346,9/13/2016,,5.24,1,5.24,,,"27,43,871",READY TO WEAR,CASUAL RTW
13952865,706000000000,1226358237,8/20/2016,9/21/2016,6.29,1,6.29,1,6.29,"27,43,871",READY TO WEAR,CASUAL RTW
10426835,716000000000,1249149051,9/27/2016,,29.99,1,29.99,,,"27,39,838",CENTER CORE,WOMENS SHOES
10426835,716000000000,CH16790613406,9/17/2016,9/29/2016,44.25,1,44.25,1,44.25,"27,39,838",CENTER CORE,WOMENS SHOES
10165475,706000000000,1237386078,09/09/2016,,17.59,2,35.18,,,"28,68,722",MENS & KIDS,TOTAL MENS
10165475,706000000000,1260112443,10/10/2016,,19.99,1,19.99,,,"28,68,722",MENS & KIDS,TOTAL MENS
10165475,706000000000,1234850205,09/03/2016,,15.99,1,15.99,,,"28,68,722",MENS & KIDS,TOTAL MENS
13972705,886000000000,1202739605,5/21/2016,6/18/2016,28.91,1,28.91,1,28.91,"28,70,642",CENTER CORE,WOMENS SHOES
13972705,886000000000,1206131198,06/11/2016,07/05/2016,20.65,2,41.3,1,20.65,"28,70,642",CENTER CORE,WOMENS SHOES
13972705,886000000000,1204718939,06/01/2016,06/12/2016,24.78,2,49.56,2,49.56,"28,70,642",CENTER CORE,WOMENS SHOES
10696568,898000000000,1258573065,10/07/2016,,14,2,28,,,"25,96,301",HOME,SOFT HOME
10696568,898000000000,1350472965,12/19/2016,,9,2,18,,,"25,96,301",HOME,SOFT HOME
14766521,88542252149,1210263678,07/03/2016,09/10/2016,37.5,1,37.5,1,37.5,"16,49,582",MENS & KIDS,TOTAL MENS
14766521,88542252149,1211507717,7/13/2016,,30,1,30,,,"16,49,582",MENS & KIDS,TOTAL MENS
11232483,722000000000,1219276581,08/04/2016,8/17/2016,69,1,69,1,69,"27,52,900",READY TO WEAR,MILLENNIAL/DENIM
11232483,722000000000,1220118063,08/05/2016,,39.99,1,39.99,,,"27,52,900",READY TO WEAR,MILLENNIAL/DENIM
15437389,53329055121,1314971922,11/26/2016,,69.99,1,69.99,,,"27,52,963",MENS & KIDS,TOTAL MENS
15437389,53329055121,1260149968,11/19/2016,12/31/2016,99,1,99,1,99,"27,52,963",MENS & KIDS,TOTAL MENS
11106332,706000000000,1208545167,6/22/2016,,79.99,1,79.99,,,"26,55,389",HOME,SOFT HOME
11106332,706000000000,1229510634,8/23/2016,,79.99,1,79.99,,,"26,55,389",HOME,SOFT HOME
11235614,823000000000,1202344967,5/16/2016,5/20/2016,39.99,1,39.99,1,39.99,"27,55,443",READY TO WEAR,SPECIAL SIZES
11235614,823000000000,1202571878,5/21/2016,5/25/2016,26.39,1,26.39,1,26.39,"27,55,443",READY TO WEAR,SPECIAL SIZES
12936037,890000000000,1193601423,04/07/2016,,29.99,1,29.99,,,"26,42,991",READY TO WEAR,MISSY TOTAL ACTIVE
